team,matches_played,goals_scored,goals_conceded,goal_difference,wins,clean_sheets,over_2_5_count,btts_count,possession_pct,xG,total_shots,shots_on_target,big_chances,big_chances_scored,corners,fouls_committed,yellow_cards,red_cards,passes_attempted,passes_completed,tackles,interceptions,recoveries,clearances,gk_saves,goals_prevented,duels_won_pct,dribble_success_pct,touches_opp_box,attendance,draws,losses,points,win_pct,clean_sheet_pct,over_2_5_pct,btts_pct
Algeria,4,1.25,2.25,-1.0,1,0,3,2,61.0,1.15,11.0,3.75,2.0,0.75,3.5,7.25,1.0,,641.75,577.0,18.5,8.25,45.0,14.75,2.0,-0.8884,51.5,11.5,20.25,64739.5,1,2,4,0.25,0.0,0.75,0.5
Argentina,5,2.8,1.0,1.8,5,2,4,3,60.6,2.2119999999999997,15.0,6.4,3.2,1.25,4.6,11.8,0.75,,673.6,611.0,20.8,9.2,44.8,19.8,0.8,-0.30752,50.2,6.4,26.4,68612.0,0,0,15,1.0,0.4,0.8,0.6
Australia,4,1.25,1.75,-0.5,1,2,1,1,41.0,0.73,10.5,3.0,0.3333333333333333,0.3333333333333333,4.0,11.5,1.25,,405.75,315.25,14.5,7.25,41.5,30.0,3.5,0.30122499999999997,51.25,11.0,21.5,64623.25,1,2,4,0.25,0.5,0.25,0.25
Austria,4,1.5,2.25,-0.75,1,0,3,2,45.0,1.0075,8.0,2.0,2.25,1.0,2.5,11.75,1.25,,447.75,379.75,14.0,10.0,40.0,19.75,3.25,-0.331775,44.0,4.75,18.5,69678.25,1,2,4,0.25,0.0,0.75,0.5
Belgium,5,2.6,1.0,1.6,3,1,3,4,54.8,2.1060000000000003,21.4,6.4,2.8,2.3333333333333335,4.6,12.0,0.8,1.0,543.2,464.4,15.2,8.0,55.4,21.8,2.0,-0.24446000000000004,52.8,10.8,42.2,64128.5,2,0,11,0.6,0.2,0.6,0.8
Bosnia & Herzegovina,4,1.25,2.0,-0.75,1,0,2,3,45.75,0.53,9.25,3.5,0.75,0.25,3.75,15.0,1.75,0.5,396.75,319.0,14.5,8.25,43.25,38.5,1.5,-0.8408,49.0,5.75,12.5,62195.0,1,2,4,0.25,0.0,0.5,0.75
Brazil,5,2.0,0.8,1.2,3,2,4,3,53.0,2.404,14.8,6.0,4.4,1.8,5.4,10.2,1.6,,531.6,475.8,18.6,9.6,42.4,20.2,2.8,0.16926000000000002,54.0,7.2,29.8,72581.0,1,1,10,0.6,0.4,0.8,0.6
Cabo Verde,4,1.0,1.25,-0.25,0,2,2,2,37.0,0.735,12.25,3.0,0.75,0.5,4.25,6.75,1.25,,370.75,300.0,17.0,12.5,48.75,37.25,4.5,0.21345000000000003,51.0,9.5,12.75,66099.75,3,1,3,0.0,0.5,0.5,0.5
Canada,5,1.8,1.2,0.6,2,2,3,2,54.4,1.9419999999999997,16.0,6.2,3.2,1.0,10.0,14.4,2.2,0.0,413.0,333.2,15.8,7.2,45.8,13.8,1.2,-0.31378,48.4,6.6,43.0,57202.0,1,2,7,0.4,0.4,0.6,0.4
Colombia,5,1.6,1.0,0.6,3,3,2,2,57.6,1.484,18.8,6.0,3.0,2.0,4.8,14.0,1.6,,547.4,477.6,12.8,8.0,43.4,20.0,1.2,0.16592,50.4,5.4,25.0,62440.4,1,1,10,0.6,0.6,0.4,0.4
Croatia,4,1.5,1.75,-0.25,2,1,3,3,49.75,1.0274999999999999,9.25,4.25,2.25,0.75,3.0,11.25,1.3333333333333333,,462.0,400.5,16.5,7.0,41.0,24.25,2.5,-0.207175,49.75,7.25,15.5,56196.25,0,2,6,0.5,0.25,0.75,0.75
Curaçao,3,0.3333333333333333,3.0,-2.6666666666666665,0,1,1,1,32.333333333333336,0.47,9.666666666666666,2.3333333333333335,0.0,0.0,1.6666666666666667,10.666666666666666,3.5,,308.3333333333333,245.33333333333334,16.666666666666668,13.0,49.666666666666664,24.666666666666668,6.666666666666667,0.1220666666666667,51.333333333333336,11.0,13.333333333333334,68314.33333333333,1,2,1,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
Czechia,3,0.6666666666666666,2.0,-1.3333333333333333,0,0,2,2,42.666666666666664,0.7933333333333333,11.333333333333334,2.6666666666666665,1.3333333333333333,0.6666666666666666,5.0,12.333333333333334,0.3333333333333333,,355.3333333333333,278.3333333333333,11.0,6.666666666666667,44.0,21.0,3.0,-0.156,48.0,6.333333333333333,14.0,64417.0,1,2,1,0.0,0.0,0.6666666666666666,0.6666666666666666
Côte d'Ivoire,4,1.25,1.0,0.25,2,2,2,2,49.5,1.385,11.25,3.5,2.5,1.3333333333333333,6.5,7.25,1.3333333333333333,,481.5,415.25,18.5,10.0,49.75,21.25,2.25,0.1168,53.25,12.25,32.75,62323.75,0,2,6,0.5,0.5,0.5,0.5
DR Congo,4,1.25,1.25,0.0,1,0,2,3,39.75,1.0475,10.25,2.25,1.25,1.0,3.25,11.0,1.5,,349.5,280.0,18.0,5.5,43.5,26.75,3.5,-0.087475,49.25,6.5,15.25,62653.25,1,2,4,0.25,0.0,0.5,0.75
Ecuador,4,0.5,1.0,-0.5,1,1,1,1,55.75,1.4675,13.25,5.0,2.5,1.0,6.25,12.25,2.0,1.0,481.0,413.25,19.25,9.5,47.75,21.0,2.25,0.04425000000000001,47.5,7.0,24.5,74589.75,1,2,4,0.25,0.25,0.25,0.25
Egypt,5,2.4,1.8,0.6,2,0,3,5,51.4,1.2,13.4,3.6,2.0,1.0,5.2,11.8,2.4,,516.8,439.2,18.4,9.2,43.6,34.6,2.8,-0.15575999999999995,50.0,9.0,25.8,64936.0,2,1,8,0.4,0.0,0.6,1.0
England,5,2.2,1.0,1.2,4,2,3,3,58.2,1.9780000000000002,16.0,6.4,4.6,2.0,6.2,10.8,1.75,1.0,485.2,429.0,14.0,4.8,40.6,22.8,1.8,-0.43084000000000006,54.0,8.0,32.6,72819.6,1,0,13,0.8,0.4,0.6,0.6
France,5,2.8,0.4,2.4,5,3,4,2,60.6,2.13,17.6,7.8,4.2,1.6,7.2,9.8,1.3333333333333333,,570.6,503.8,15.2,7.6,51.6,18.4,1.8,0.11886000000000001,53.0,10.0,30.2,72400.4,0,0,15,1.0,0.6,0.8,0.4
Germany,4,3.5,2.25,1.25,2,0,4,4,65.5,2.0825,18.5,7.0,3.75,2.0,8.5,12.75,1.5,,664.5,587.75,19.5,7.0,57.5,15.0,1.25,-0.32065,47.25,9.25,39.75,63916.25,0,2,6,0.5,0.0,1.0,1.0
Ghana,4,0.5,0.75,-0.25,1,2,1,1,36.25,0.5825,5.75,1.0,1.0,0.6666666666666666,2.0,14.0,1.5,,338.75,283.25,16.0,7.5,39.5,22.25,4.0,0.57125,48.0,6.75,10.25,61073.5,1,2,4,0.25,0.5,0.25,0.25
Haiti,3,0.6666666666666666,2.6666666666666665,-2.0,0,0,2,1,42.666666666666664,0.8333333333333334,10.333333333333334,2.3333333333333335,0.6666666666666666,0.0,3.0,18.333333333333332,2.3333333333333335,,359.0,299.3333333333333,17.666666666666668,10.333333333333334,37.333333333333336,22.666666666666668,3.6666666666666665,-0.2200333333333333,46.0,6.666666666666667,16.0,66903.0,0,3,0,0.0,0.0,0.6666666666666666,0.3333333333333333
Iran,3,1.0,1.0,0.0,0,1,1,2,39.333333333333336,1.3633333333333333,12.333333333333334,3.6666666666666665,2.6666666666666665,1.5,2.6666666666666665,11.666666666666666,2.0,0.0,348.6666666666667,264.3333333333333,19.333333333333332,10.333333333333334,46.333333333333336,36.666666666666664,5.0,-0.012633333333333274,51.333333333333336,4.666666666666667,22.0,69116.66666666667,3,0,3,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
Iraq,3,0.3333333333333333,4.0,-3.6666666666666665,0,0,3,1,38.0,0.5233333333333333,7.0,0.6666666666666666,0.6666666666666666,0.0,2.3333333333333335,9.0,1.3333333333333333,1.0,360.3333333333333,289.3333333333333,18.333333333333332,7.333333333333333,39.0,27.333333333333332,3.6666666666666665,-0.7143333333333333,50.333333333333336,8.0,10.0,58155.333333333336,0,3,0,0.0,0.0,1.0,0.3333333333333333
Japan,4,2.0,1.25,0.75,1,1,3,3,46.25,1.065,8.5,3.25,2.0,1.0,3.25,13.75,1.3333333333333333,,420.5,361.25,13.0,5.25,34.0,35.5,3.0,-0.056825,47.0,4.5,14.25,64860.5,2,1,5,0.25,0.25,0.75,0.75
Jordan,3,1.0,2.6666666666666665,-1.6666666666666667,0,0,3,3,30.666666666666668,0.6166666666666667,8.0,3.0,0.6666666666666666,0.3333333333333333,2.0,10.333333333333334,1.3333333333333333,,289.3333333333333,216.66666666666666,20.333333333333332,11.333333333333334,45.333333333333336,29.333333333333332,2.6666666666666665,-1.0556333333333334,51.0,10.333333333333334,12.666666666666666,69182.33333333333,0,3,0,0.0,0.0,1.0,1.0
Mexico,5,2.0,0.6,1.4,4,4,2,1,52.2,1.332,14.0,4.2,2.6,2.0,3.8,11.6,0.8,0.3333333333333333,420.4,362.4,12.8,7.0,39.0,23.4,1.6,0.3271,49.6,6.0,19.6,73763.6,0,1,12,0.8,0.8,0.4,0.2
Morocco,5,2.6,1.2,1.4,4,2,3,3,60.4,1.6640000000000001,12.8,5.0,3.4,1.4,5.0,12.2,1.2,,609.8,537.0,17.6,7.6,46.8,25.2,1.8,-0.28828,51.4,10.2,22.6,66613.6,1,0,13,0.8,0.4,0.6,0.6
Netherlands,4,3.25,2.0,1.25,2,0,4,4,53.0,1.37,11.5,5.5,2.0,1.6666666666666667,4.5,11.0,1.0,,497.75,438.75,13.25,9.0,39.0,21.5,4.0,0.31325000000000003,52.25,4.5,28.5,64860.5,1,1,7,0.5,0.0,1.0,1.0
New Zealand,3,1.3333333333333333,3.3333333333333335,-2.0,0,0,3,3,47.0,0.9066666666666666,10.333333333333334,5.0,1.6666666666666667,1.0,3.3333333333333335,10.666666666666666,1.3333333333333333,,434.3333333333333,360.6666666666667,11.666666666666666,8.333333333333334,46.666666666666664,27.666666666666668,3.6666666666666665,-0.8638666666666666,44.333333333333336,7.0,14.666666666666666,58367.333333333336,1,2,1,0.0,0.0,1.0,1.0
Norway,5,2.4,1.8,0.6,4,0,5,5,53.0,1.874,10.6,5.0,4.2,1.6,4.4,9.6,0.5,,493.2,427.0,15.0,6.8,38.8,23.8,3.0,-0.17945999999999998,46.2,6.4,23.2,71647.8,0,1,12,0.8,0.0,1.0,1.0
Panama,3,0.0,1.3333333333333333,-1.3333333333333333,0,0,0,0,45.666666666666664,0.6466666666666666,10.666666666666666,2.3333333333333335,1.0,0.0,4.0,15.333333333333334,1.6666666666666667,,401.0,327.3333333333333,18.333333333333332,5.333333333333333,48.333333333333336,26.666666666666668,2.3333333333333335,0.08803333333333337,46.333333333333336,7.666666666666667,17.333333333333332,55547.0,0,3,0,0.0,0.0,0.0,0.0
Paraguay,5,1.4,1.8,-0.4,2,2,2,2,29.6,0.316,7.0,1.8,1.0,0.6666666666666666,2.0,13.2,1.8,1.0,272.2,183.2,26.4,10.8,46.6,36.2,4.6,0.31268,49.8,7.6,9.2,68083.0,1,2,7,0.4,0.4,0.4,0.4
Portugal,5,1.6,0.6,1.0,2,2,2,2,58.2,1.4040000000000001,12.4,3.4,2.8,0.75,4.4,8.8,1.4,,573.0,516.0,13.6,6.8,44.4,18.0,3.8,0.32828,54.0,9.8,21.6,63143.4,2,1,8,0.4,0.4,0.4,0.4
Qatar,3,0.6666666666666666,3.3333333333333335,-2.6666666666666665,0,0,2,2,33.0,0.5299999999999999,5.666666666666667,2.0,1.3333333333333333,0.6666666666666666,3.0,12.0,1.3333333333333333,2.0,291.3333333333333,225.0,14.333333333333334,8.333333333333334,31.666666666666668,38.666666666666664,4.0,-0.8023666666666668,46.666666666666664,2.3333333333333335,8.333333333333334,62462.666666666664,1,2,1,0.0,0.0,0.6666666666666666,0.6666666666666666
Saudi Arabia,3,0.3333333333333333,1.6666666666666667,-1.3333333333333333,0,1,1,1,38.333333333333336,0.39666666666666667,5.666666666666667,2.3333333333333335,0.6666666666666666,0.5,2.3333333333333335,9.666666666666666,2.0,,376.6666666666667,296.3333333333333,18.333333333333332,11.0,39.666666666666664,34.333333333333336,5.333333333333333,0.21420000000000003,51.333333333333336,5.666666666666667,10.666666666666666,66327.0,2,1,2,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
Scotland,3,0.3333333333333333,1.3333333333333333,-1.0,1,1,1,0,44.333333333333336,0.8666666666666667,9.666666666666666,2.3333333333333335,1.6666666666666667,0.0,4.0,14.0,1.6666666666666667,,443.0,381.0,14.333333333333334,5.666666666666667,34.0,15.666666666666666,2.6666666666666665,0.5057666666666667,47.333333333333336,3.6666666666666665,22.666666666666668,64256.666666666664,0,2,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
Senegal,4,2.5,2.25,0.25,1,1,4,3,55.5,2.21,17.25,5.75,4.0,1.5,5.5,9.0,1.5,0.0,555.0,478.25,13.5,7.75,52.75,19.0,3.0,-0.6535249999999999,50.25,9.0,30.0,67792.25,0,3,3,0.25,0.25,1.0,0.75
South Africa,4,0.5,1.0,-0.5,1,1,0,1,47.75,0.6875,9.75,2.75,0.5,0.5,2.75,9.5,1.25,2.0,447.75,380.75,16.75,11.5,46.5,28.5,2.75,0.22699999999999998,47.75,6.75,10.75,67186.5,1,2,4,0.25,0.25,0.0,0.25
South Korea,3,0.6666666666666666,1.0,-0.3333333333333333,1,0,1,1,62.666666666666664,1.3699999999999999,10.666666666666666,3.6666666666666665,2.6666666666666665,1.0,4.0,8.333333333333334,1.3333333333333333,,612.6666666666666,532.6666666666666,12.0,6.0,43.0,20.0,3.0,0.15633333333333335,55.0,7.666666666666667,17.666666666666668,47250.0,0,2,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
Spain,5,1.8,0.0,1.8,4,5,2,0,65.4,1.95,18.6,6.4,3.0,2.3333333333333335,7.8,11.0,0.6,0.0,661.4,598.4,15.4,8.0,50.8,15.0,1.2,0.24444,50.6,7.0,37.0,64417.0,1,0,13,0.8,1.0,0.4,0.0
Sweden,4,1.75,2.5,-0.75,1,0,3,3,46.25,0.9199999999999999,12.0,5.75,2.0,0.75,4.5,10.75,1.6666666666666667,,381.5,307.25,13.0,7.0,37.75,21.0,3.5,-0.08787499999999995,48.0,5.75,18.75,67641.0,1,2,4,0.25,0.0,0.75,0.75
Switzerland,5,2.6,1.2,1.4,4,1,3,4,56.6,1.842,12.6,5.0,3.0,1.5,5.2,13.8,1.2,0.0,534.8,462.8,15.0,9.4,45.2,26.4,3.2,0.32514,52.4,8.0,27.4,59096.6,1,0,13,0.8,0.2,0.6,0.8
Tunisia,3,0.6666666666666666,4.0,-3.3333333333333335,0,0,3,2,39.333333333333336,0.3166666666666667,6.0,2.0,0.6666666666666666,0.3333333333333333,3.0,9.0,1.0,,327.6666666666667,258.3333333333333,18.666666666666668,9.333333333333334,41.0,23.666666666666668,2.0,-1.6445333333333334,51.0,3.6666666666666665,9.666666666666666,57455.666666666664,0,3,0,0.0,0.0,1.0,0.6666666666666666
Türkiye,3,1.0,1.6666666666666667,-0.6666666666666666,1,0,1,1,66.0,2.1933333333333334,23.666666666666668,5.333333333333333,4.0,1.5,7.333333333333333,10.333333333333334,0.6666666666666666,0.0,589.0,509.6666666666667,20.333333333333332,6.333333333333333,41.333333333333336,27.333333333333332,2.6666666666666665,-0.45,51.666666666666664,9.0,41.0,63938.666666666664,0,2,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
USA,5,2.2,1.6,0.6,3,2,3,3,56.8,1.228,11.8,3.8,2.4,1.0,5.2,11.2,1.4,1.0,506.8,431.8,15.0,10.8,44.2,24.8,2.0,-0.3045,50.4,12.0,28.8,69184.0,0,2,9,0.6,0.4,0.6,0.6
Uruguay,3,1.0,1.3333333333333333,-0.3333333333333333,0,0,1,2,55.0,1.4133333333333333,16.333333333333332,4.333333333333333,1.6666666666666667,1.5,8.666666666666666,10.333333333333334,1.6666666666666667,1.0,474.6666666666667,396.0,14.666666666666666,10.333333333333334,49.0,14.0,1.3333333333333333,-0.6303333333333333,48.333333333333336,7.333333333333333,29.0,57177.333333333336,2,1,2,0.0,0.0,0.3333333333333333,0.6666666666666666
Uzbekistan,3,0.6666666666666666,3.6666666666666665,-3.0,0,0,3,2,38.333333333333336,0.5333333333333333,6.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,3.0,15.0,1.3333333333333333,,333.6666666666667,258.0,19.0,11.0,45.333333333333336,30.666666666666668,2.0,-1.2656333333333334,48.666666666666664,6.0,6.0,72613.33333333333,0,3,0,0.0,0.0,1.0,0.6666666666666666
